Lolium multiflorum;FE 3-3-2;;;;;;;;;;;;;;;;;
Lolium perenne;FE 3-3-2;;;;;;;;;;;;;;;;;
Lotus corniculatus;FE 3-3-2;;;;;;;;;;;;;;;;;
Luzula campestris;FE 3-3-2;;;;;;;;;;;;;;;;;
Lychnis flos-cuculi;FE 3-3-2;;;;;;;;;;;;;;;;;
Myosotis alpestris;FE 3-3-2;;;;;;;;;;;;;;;;;
Peucedanum oreoselinum;FE 3-3-2;;;;;;;;;;;;;;;;;
Phleum pratense;FE 3-3-2;;;;;;;;;;;;;;;;;
Phleum pratensis;FE 3-3-2;;;;;;;;;;;;;;;;;
Pilosella aurantiaca;FE 3-3-2;;;;;;;;;;;;;;;;;
Pilosella piloselloides;FE 3-3-2;;;;;;;;;;;;;;;;;
Pimpinella major;FE 3-3-2;;;;;;;;;;;;;;;;;
Pimpinella saxifraga;FE 3-3-2;;;;;;;;;;;;;;;;;
Plantago lanceolata;FE 3-3-2;;;;;;;;;;;;;;;;;
Poa angustifolia;FE 3-3-2;;;;;;;;;;;;;;;;;
Poa pratensis;FE 3-3-2;;;;;;1;3;15;28;49;46;48;35;35;20;15;
Poa trivalis ;FE 3-3-2;;;;;;;;;;;;;;;;;
Poa trivialis;FE 3-3-2;;;;;;;;;;;;;;;;;
Primula veris;FE 3-3-2;;;;;;;;;;;;;;;;;
Prunella vulgaris;FE 3-3-2;;;;;;;;;;;;;;;;;
Ranunculus acris;FE 3-3-2;;;;;;;;;;;;;;;;;
Ranunculus bulbosus;FE 3-3-2;;;;;;;;;;;;;;;;;
Ranunculus ficaria;FE 3-3-2;;;;;;;;;;;;;;;;;
Ranunculus montanus;FE 3-3-2;;;;;;;;;;;;;;;;;
Ranunculus repens;FE 3-3-2;;;;;;;;;;;;;;;;;
Rhinanthus minor;FE 3-3-2;;;;;;;;;;;;;;;;;
Rumex acetosa;FE 3-3-2;;;;;;;;;;;;;;;;;
Rumex sanguineus;FE 3-3-2;;;;;;;;;;;;;;;;;
Silene alba;FE 3-3-2;;;;;;;;;;;;;;;;;
Silene flos-cuculi;FE 3-3-2;;;;;;;;;;;;;;;;;
Stellaria media;FE 3-3-2;;;;;;;;;;;;;;;;;
Taraxacum officinale;FE 3-3-2;;;;;;1;;;;;;;;;;;
