BT 1-8-4;Arrhenatherum elatius;;;;;;;;;;;;;;;2;6;6;4
BT 1-8-4;Dactylis glomerata;;;;;;;;;;;;;;;;;;1
BT 1-8-4;Festuca rubra;;;;;;;;;;;;1;9;;9;8;5;
BT 1-8-4;Lolium perenne;;;;;;;;;;;;;;;1;;;
BT 1-8-4;Poa pratensis;;;;;;;;;;;;1;5;;4;;;
BT 1-8-4;Poa trivialis;;;;;;;;;;;;;;;;;;1
BT 1-8-5;Agrostis capillaris;;;;;;;;;;;;;;;;10;20;15
BT 1-8-5;Festuca rubra;;;;;;;;;;;;7;15;23;51;51;51;25
BT 1-8-5;Leucanthemum ircutianum;;;;;;;;;;;;2;6;8;12;8;1;1
BT 1-8-5;Poa pratensis;;;;;;;;;;;;3;;;;;;
BT 1-9-2;Festuca pratensis;;;;;;;;;;;;;;;7;;;
BT 1-9-2;Festuca rubra;;;;;;;;;;;;3;3;3;4;5;5;3
BT 1-9-2;Pilosella piloselloides;;;;;;;;;;;;;;23;50;60;30;
BT 1-9-2;Plantago lanceolata;;;;;;;;;;;;;;3;;;;
BT 1-9-3;Festuca rubra;;;;;;;;;;;;17;19;19;19;19;19;1
BT 1-9-3;Pilosella piloselloides;;;;;;;;;;;;;;4;8;4;;
BT 1-9-3;Plantago lanceolata;;;;;;;;;;;7;3;;;;;;
BT 1-9-3;Rumex acetosa;;;;;;;;;3;;;;;1;;;;
BT 1-9-3;Taraxacum officinale;;;;;;;;1;;;;;;;;;;
BT 1-9-3;Tragopodon pratensis;;;;;;;;;;;;1;2;3;;;1;
BT 1-9-3;Trifolium pratense;;;;;;;;;;;;;;;;9;2;
BT 1-9-3;Trisetum flavescens;;;;;;;;;;;;;;;7;;;
BT 1-9-3;Vicia hirsuta;;;;;;;;;;;;1;3;4;;;;
BT 1-9-3;Vicia sepium;;;;;;;;;;;;;;;27;;;
BT 1-9-4;Arrhenatherum elatius;;;;;;;;;;;;2;;7;9;7;8;
BT 1-9-4;Festuca rubra;;;;;;;;;;;;5;;7;13;15;20;2
BT 1-9-4;Lolium perenne;;;;;;;;;;;;;;;4;;;
BT 1-9-4;Taraxacum officinale;;;;;;;;40;1;;;;;;;;;
EB 1-1-4;Festuca pratensis;;;;;;;;;;;;;;;;;;3
EB 1-1-4;Lolium perenne;;;;;;;;;;;;;;7;;;;
EB 1-1-4;Rumex acetosa;;;;;;;;;3;5;4;;;1;;;;
EB 1-1-4;Veronica chamaedrys;;;;;;1;1;;;;;1;;;;;;
EB 1-1-4;Veronica persica;;;;;;;;1;;;;1;;;;;;
EB 1-2-1;Agrostis capillaris;;;;;;;;;;;;;;;;2;;
EB 1-2-1;Cerastium holosteoides;;;;;;;;;;;;;;;1;;;
EB 1-2-1;Festuca pratensis;;;;;;;;;;;;;;;;3;3;3
EB 1-2-1;Festuca rubra;;;;;;;;;;;;1;;;;;;
EB 1-2-1;Lolium perenne;;;;;;;;;;;;;;;1;;;1
EB 1-2-1;Plantago lanceolata;;;;;;;;;;;;;;1;1;;2;
EB 1-2-1;Senecio vulgare;;;;;;;;1;;;;5;;1;;;;
EB 1-2-1;Trisetum flavescens;;;;;;;;;;;;;;;1;1;1;
EB 1-2-1;Vicia sepium;;;;;;;;;;;;;;;;7;3;2
EB 1-2-2;Chaerophyllum temulum;;;;;;;;;;;;2;37;;10;6;;
EB 1-2-2;Draba verna;;;;1;;3;2;1;;;;;;;;;;
EB 1-2-2;Festuca rubra;;;;;;;;;;;;;;;;;;15
EB 1-2-2;Geranium rotundifolium;;;;;;;;;;;;;;;;3;;
EB 1-2-2;Lolium perenne;;;;;;;;;;;;;;;3;3;3;3
EB 1-2-2;Veronica hederifolia;;;;;;;2;;;;;;;;;;;
EB 1-2-4;Arrhenatherum elatius;;;;;;;;;;;;;;;;3;3;
EB 1-2-4;Elymus repens;;;;;;;;;;;;;;;;;1;1
EB 1-2-4;Festuca pratensis;;;;;;;;;;;;;;;;;;1
EB 1-2-4;Lolium perenne;;;;;;;;;;;;;;;2;;;
EB 1-2-4;Taraxacum officinale;;;;;;;2;1;;;;;;;;;;
EB 1-4-4;Arabidopsis thaliana;;;;;;;;1;1;1;1;1;;;;;;
EB 1-4-4;Lolium perenne;;;;;;;;;;;;1;1;6;8;8;8;8
EB 1-5-4;Elymus repens;;;;;;;;;;;;;;;;42;42;10
EB 1-7-2;Alchemilla vulgaris;;;;;;;;3;5;7;12;13;13;;;;;
EB 1-7-2;Elymus repens;;;;;;;;;;;;;;;;8;8;6
EB 1-7-2;Vicia sepium;;;;;;;;;;;;1;10;8;8;7;10;3
EB 1-9-2;Agrostis capillaris;;;;;;;;;;;;;;;;;;3
EB 1-9-2;Geum urbanum;;;;;;;;;;;;2;3;7;;;;
EB 1-9-2;Lathyrus pratensis;;;;;;;;;;;;;;;;5;;
EB 1-9-2;Leucanthemum ircutianum;;;;;;;;;;;;5;10;48;83;120;120;45
EB 1-9-3;Alchemilla vulgaris;;;;;;;;1;7;11;15;14;7;;;;;
EB 1-9-3;Anthoxanthum odoratum;;;;;;;;;;;;1;;;;;;
EB 1-9-3;Festuca pratensis;;;;;;;;;;;;;;;;;;5
EB 1-9-3;Lolium perenne;;;;;;;;;;;;;;;;;1;
EB 1-9-3;Poa pratensis;;;;;;;;;;;;4;9;9;10;22;12;15
EB 2-1-3;Alchemilla vulgaris;;;;;;;;2;6;13;18;13;;;;;;1
EB 2-1-3;Elymus repens;;;;;;;;;;;;;;;;1;1;1
EB 2-1-3;Festuca pratensis;;;;;;;;;;;;;;;;;;1
EB 2-1-3;Festuca rubra;;;;;;;;;;;;10;4;;3;3;3;3
EB 2-1-3;Vicia sepium;;;;;;;;;;;;;;;;;;3
EB 2-2-1;Agrostis capillaris;;;;;;;;;;;;;;;;10;7;
EB 2-2-1;Alchemilla vulgaris;;;;;;;;3;7;11;15;13;;;;;;
EB 2-2-1;Elymus repens;;;;;;;;;;;;;;;;2;2;2
EB 2-2-1;Festuca pratensis;;;;;;;;;;;;;;;5;8;3;
EB 2-2-1;Lolium perenne;;;;;;;;;;;;;;;5;;;1
EB 2-2-1;Poa pratensis;;;;;;;;;;;;2;3;3;3;;;
EB 2-2-1;Taraxacum officinale;;;;;;;;1;1;;;;;;;;;
EB 2-4-2;Elymus repens;;;;;;;;;;;;;;;;;1;2
EB 2-4-2;Geranium rotundifolium;;;;;;;;;;;;;;;3;;;
EB 2-4-2;Lolium perenne;;;;;;;;;;;;;;;8;7;7;7
EB 2-4-2;Poa pratensis;;;;;;;;;;;;1;1;;;;;
EB 2-6-2;Alchemilla vulgaris;;;;;;;;3;7;18;15;15;;;;;;1
EB 2-6-2;Elymus repens;;;;;;;;;;;;;;;;;;1
EB 2-6-2;Lolium perenne;;;;;;;;;;;;;1;1;1;1;1;1
EB 2-7-1;Alchemilla vulgaris;;;;;;;;;;;;2;;;;;;
EB 2-7-1;Chaerophyllum temulum;;;;;;;;;;;;1;1;2;1;1;;
EB 2-7-1;Lolium perenne;;;;;;;;;;;;;;;;4;4;
EB 2-7-1;Taraxacum officinale;;;;;;;;1;1;;;;;;;;;
EB 2-8-4;Elymus repens;;;;;;;;;;;;;;;;;2;3
EB 2-8-4;Holcus lanatus;;;;;;;;;;;;;;;2;4;5;4
EB 2-8-4;Lolium perenne;;;;;;;;;;;;;;;8;7;6;6
EB 2-8-4;Plantago lanceolata;;;;;;;;;;;;;3;;2;3;;
EB 2-8-4;Poa trivialis;;;;;;;;;;;;;;;;;;1
EB 2-8-4;Thlaspi arvense;;;;;1;1;2;10;11;;14;8;;;;;;
EB 2-9-1;Elymus repens;;;;;;;;;;;;;;;;;1;1
EB 2-9-1;Lolium perenne;;;;;;;;;;;;4;5;8;7;6;6;
EB 2-9-2;Alchemilla vulgaris;;;;;;;;4;7;13;17;11;9;;;;;1
EB 2-9-3;Elymus repens;;;;;;;;;;;;;;;;2;2;3
EB 2-9-3;Festuca rubra;;;;;;;;;;;;;;;1;;;1
EB 2-9-3;Leontodon helveticus;;;;;;;;;;;;;;1;1;1;;
EB 2-9-3;Poa pratensis;;;;;;;;;;;;11;11;13;8;14;7;
EB 2-9-3;Veronica hederifolia;2;4;7;7;2;4;13;7;7;8;;4;;1;;;;
EB 4-1-1;Veronica persica;;;;;;;;;;;;;;;;;2;
EB 4-1-1;Veronica chamaedrys;;;;;;1;1;;;;;;;;;;;
EB 4-1-2;Veronica hederifolia;;;;;;;;;;;;;;;;;;1
EB 4-1-2;Lolium perenne;;;;;;;;;;;;;;2;;;;
EB 4-1-3;Plantago lanceolata;;;;;;;;;;;;;2;6;6;5;5;
EB 4-1-3;Festuca rubra;;;;;;;;;;;;;;;1;;;
EB 4-1-3;Holcus lanatus;;;;;;;;;;;;;;;1;3;3;
EB 4-1-3;Poa pratensis;;;;;;;;;;;;;;;1;;;
EB 4-2-1;Achillea millefolium;;;;;;;;;;;;;;;2;2;2;
EB 4-2-1;Festuca rubra;;;;;;;;;;;;;;12;23;2;;
EB 4-2-1;Leontodon helveticus;;;;;;;;;;;;;;1;;;;
EB 4-2-1;Pilosella piloselloides;;;;3;1;2;;;;;;;;;;;;
EB 4-2-1;Veronica chamaedrys;;;;;;;1;1;;;;;;;;;;
EB 4-2-1;Veronica hederifolia;;;;;;;2;;;;;;;;;;;
EB 4-2-2;Veronica persica;;;;;;;;;;;;;;;3;5;3;3
EB 4-2-2;Lolium perenne;;;;;;;;;3;5;;;;;;;;
EB 4-2-2;Taraxacum officinale;;;1;;1;1;2;2;2;2;1;1;1;1;;;;
EB 4-2-3;Veronica hederifolia;;;;;;;;;;;;;;;1;1;;
EB 4-2-3;Agrostis capillaris;;;;;;;;;;;;;;1;;3;;
