plotID;origin;recipient;65;72;79;87;93;100;107;114;122;128;135;142;148;156;163;170;175;183;190
FE 1-6-3;FE;BT;75;75;95;95;97;97;100;100;100;100;100;100;100;100;100;95;100;;
EB 4-2-2;EB;BT;5;10;20;20;30;30;35;40;70;75;80;70;95;55;20;15;15;;
SP 1-5-1;SP;BT;25;25;50;50;75;75;75;75;75;75;80;80;100;90;90;65;5;;
FP 1-2-5;FP;BT;2;5;10;10;10;10;10;15;30;35;40;55;90;100;50;40;10;;
GW 1-1-1;GW;BT;3;5;5;10;15;15;15;15;30;30;50;50;75;85;85;70;15;;
EB 4-4-3;EB;BT;2;5;25;30;40;45;55;55;55;55;65;60;100;100;100;95;65;;
BT 1-1-3;BT;BT;40;40;50;55;65;75;85;95;100;100;100;100;100;100;100;100;100;;
FE 1-4-3;FE;BT;40;50;80;85;90;95;97;97;100;100;100;100;100;100;100;8;75;;
GW 1-5-2;GW;BT;5;7;20;20;40;45;50;60;95;90;95;100;100;100;100;65;100;;
SP 1-2-2;SP;BT;30;40;35;45;55;55;55;60;65;65;65;60;95;80;80;10;25;;
FP 1-2-3;FP;BT;1;5;5;5;10;10;10;10;5;5;7;8;10;5;10;5;10;;
FE 2-5-2;FE;BT;60;70;85;85;97;97;97;97;100;100;100;100;100;100;20;10;10;;
EB 4-2-1;EB;BT;5;7;15;20;45;45;50;50;65;65;70;75;95;95;25;15;3;;
BT 1-2-5;BT;BT;25;25;15;20;40;70;90;97;100;100;100;100;100;100;100;100;100;;
BT 1-9-4;BT;BT;20;25;75;95;95;97;99;99;100;100;100;100;100;100;80;55;45;;
GW 1-3-3;GW;BT;10;10;20;20;45;50;60;85;95;95;95;100;100;100;100;100;100;;
SP 2-2-2;SP;BT;7;10;25;25;20;20;20;20;35;35;15;45;80;65;25;3;1;;
SP 1-8-2;SP;BT;20;25;38;40;60;65;70;70;65;65;95;95;95;95;65;10;10;;
FE 2-5-3;FE;BT;35;40;60;80;85;85;90;90;90;95;95;100;100;100;90;10;30;;
EB 2-9-1;EB;BT;15;25;35;35;65;65;75;75;80;80;80;100;100;100;80;15;10;;
EB 1-4-4;EB;BT;3;5;15;15;20;20;20;20;35;35;50;35;75;55;25;10;5;;
BT 1-6-2;BT;BT;20;40;50;60;75;80;80;80;80;85;90;90;100;100;95;55;10;;
GW 3-7-1;GW;BT;15;25;45;50;60;60;65;75;85;90;90;100;100;100;95;70;10;;
GW 2-4-1;GW;BT;5;5;15;15;20;20;20;25;45;45;75;50;50;20;5;2;1;;
SP 2-6-2;SP;BT;25;25;50;50;50;50;55;55;60;65;80;95;95;100;85;10;3;;
FE 3-2-2;FE;BT;15;20;45;45;45;55;75;80;80;75;65;50;80;75;80;15;3;;
FE 2-3-1;FE;BT;20;25;45;45;65;65;65;70;55;60;60;50;75;55;75;50;5;;
EB 2-7-1;EB;BT;7;7;15;15;20;20;25;25;40;40;45;55;75;70;25;15;3;;
BT 1-8-1;BT;BT;15;30;50;55;50;80;90;100;100;100;100;100;100;100;100;100;100;;
EB 1-7-4;EB;EB;;;;;;;;;;;30;70;85;95;100;100;100;100;100
EB 1-8-3;EB;EB;;;;;;;;;;;30;65;90;95;100;100;100;100;100
EB 1-3-3;EB;EB;;;;;;;;;;;35;65;80;93;100;100;100;100;100
EB 1-9-4;EB;EB;;;;;;;;;;;35;80;93;95;100;100;100;100;100
