Poa trivialis;EB 1-3-3;;;;;;;;;
Primula elatior;EB 1-3-3;;4;;;;;;;
Primula veris;EB 1-3-3;;;;;;;;;
Prunella vulgaris;EB 1-3-3;;;;;;;;;
Ranunculus acris;EB 1-3-3;;;;;;;;;
Ranunculus bulbosus;EB 1-3-3;;;;;;;;;
Ranunculus ficaria;EB 1-3-3;;;;;;;;;
Ranunculus montanus;EB 1-3-3;;;;;;;;;
Ranunculus repens;EB 1-3-3;;;;;;;;;
Rhinanthus minor;EB 1-3-3;;;;;;;;;
Rumex acetosa;EB 1-3-3;;;;;;;;;
Rumex sanguineus;EB 1-3-3;;;;;;;;;
Silene alba;EB 1-3-3;;;;;;;;;
Silene flos-cuculi;EB 1-3-3;;;;;;;;;
Stellaria media;EB 1-3-3;;;;;;;;;
Taraxacum officinale;EB 1-3-3;;;;;;;;;
Taraxacum sect Ruderalia;EB 1-3-3;;;;;;;;;
Thlaspi arvense;EB 1-3-3;;;;;;;;;
Tragopodon pratensis;EB 1-3-3;;;;;;;;;
Trifolium dubium;EB 1-3-3;;;;;;;;;
Trifolium incarnatum;EB 1-3-3;;;;;;;;;
Trifolium medium;EB 1-3-3;;;;;;;;;
Trifolium pratense;EB 1-3-3;;;;;;1;1;1;1
Trifolium repens;EB 1-3-3;;;;;;;;;
Trisetum flavescens;EB 1-3-3;;;;;;8;8;12;10
Trollius europaeus;EB 1-3-3;;;;;;;;;
Veronica arvensis;EB 1-3-3;;;;;;;;;
Veronica chamaedrys;EB 1-3-3;;;;;;;;;
Veronica filiformis;EB 1-3-3;;;;;;;;;
Veronica hederifolia;EB 1-3-3;;;;;;;;;
Veronica persica;EB 1-3-3;;;;;;;;;
Veronica polita;EB 1-3-3;;;;;;;;;
Veronica serpyllifolia;EB 1-3-3;;;;;;;;;
Vicia angustifolia;EB 1-3-3;;;;;;;;;
Vicia cracca;EB 1-3-3;;;;;;;;;
Vicia hirsuta;EB 1-3-3;;;;;;;;;
Vicia sepium;EB 1-3-3;;;;;;;;;
Vicia tetrasperma;EB 1-3-3;;;;;;;;;
Achillea millefolium;EB 2-2-3;;;;;;;;;
Agrostis capillaris;EB 2-2-3;;;;;;;;;1
Agrostis gigantea;EB 2-2-3;;;;;;;;;
Agrostis stolonifera;EB 2-2-3;;;;;;;;;
Ajuga reptans;EB 2-2-3;;;;;;;;;
Alchemilla monticula;EB 2-2-3;;;;;;;;;
Alchemilla vulgaris;EB 2-2-3;;;;3;8;15;12;9;9
Alopecurus pratensis;EB 2-2-3;;;;;;;;;
Anthoxanthum odoratum;EB 2-2-3;;;;;1;1;1;;
Arabidopsis thaliana;EB 2-2-3;;;;;;;;;
Arrhenatherum elatius;EB 2-2-3;;;;;;;;;
Bellis perennis;EB 2-2-3;;;;;;;;;
Bistorta officianilis;EB 2-2-3;;;;;;;;;
Briza media;EB 2-2-3;;;;;;;;;
Cardamine amara;EB 2-2-3;;;;;;;;;
Cardamine hirsuta;EB 2-2-3;;;;;;;;;
Carex humilis;EB 2-2-3;;;;;;;;;
Carex montana;EB 2-2-3;;;;;;;;;
Carex spicata cf;EB 2-2-3;;;;;;;;;
Carex sylvatica;EB 2-2-3;;;;;;;;;
Carum carvi;EB 2-2-3;;;;;;;;;
Centaurea jacea;EB 2-2-3;;;;;;;;;
Cerastium holosteoides;EB 2-2-3;;;;;;5;3;;
Chaerophyllum temulum;EB 2-2-3;;;;;;;;;
Crepis aurea;EB 2-2-3;;;;;;;;;
Crepis biennis;EB 2-2-3;;;;;;;;;
Crocus albiflorus;EB 2-2-3;;;;;;;;;
Cynosurus cristatus;EB 2-2-3;;;;;;;;;
Dactylis glomerata;EB 2-2-3;;;;;;;;;
Daucus carota;EB 2-2-3;;;;;;;;;
Deschampsia flexuosa;EB 2-2-3;;;;;;;;;
Draba verna;EB 2-2-3;;;;;;;;;
Elymus caninus;EB 2-2-3;;;;;;;;;
Elymus repens;EB 2-2-3;;;;;;;;;
Equisetum arvense;EB 2-2-3;;;;;;;;;
Euphrasia stricta;EB 2-2-3;;;;;;;;;
Festuca pratensis;EB 2-2-3;;;;;;;2;3;1
Festuca rubra;EB 2-2-3;;;;;;2;2;3;
Filipendula ulmaria;EB 2-2-3;;;;;;;;;
Galium album;EB 2-2-3;;;;;;;;;
Geranium rotundifolium;EB 2-2-3;;;;;;;;;
Geum rivale;EB 2-2-3;;;;;;;;;
Geum urbanum;EB 2-2-3;;;;;2;3;;;
Glechoma hederacea;EB 2-2-3;;;;;;;;;
Helictotrichon pubescens;EB 2-2-3;;;;;;;;;
Heracleum sphondylium;EB 2-2-3;;;;;;;;;
Hieracium aurantiacum;EB 2-2-3;;;;;;;;;
Hieracium Macranthum;EB 2-2-3;;;;;;;;;
Hieracium pilosella ;EB 2-2-3;;;;;;;;;
Holcus lanatus;EB 2-2-3;;;;;;;;;
Hypochaeris radicata;EB 2-2-3;;;;;;;;;
Knautia arvensis;EB 2-2-3;;;;;;;;;
Lamium purpureum;EB 2-2-3;;;;;;;;;
Lathyrus pratensis;EB 2-2-3;;;;;;;;;
Leontodon autumnalis;EB 2-2-3;;;;;;;;;
Leontodon helveticus;EB 2-2-3;;;;;;;;3;3
Leontodon hispidus;EB 2-2-3;;;;;;;;;
Leucanthemum ircutianum;EB 2-2-3;;;;;;;;;
Lolium multiflorum;EB 2-2-3;;;;;;;;;
Lolium perenne;EB 2-2-3;;;;;;;;;
Lotus corniculatus;EB 2-2-3;;;;;;;;;
Luzula campestris;EB 2-2-3;;;;;;;;;
Lychnis flos-cuculi;EB 2-2-3;;;;;;;;;
Myosotis alpestris;EB 2-2-3;;;;;2;12;10;6;5
Peucedanum oreoselinum;EB 2-2-3;;;;;;;;;
Phleum pratense;EB 2-2-3;;;;;;;;;
Phleum pratensis;EB 2-2-3;;;;;;;;;3
Pilosella aurantiaca;EB 2-2-3;;;;;;;;;
Pilosella piloselloides;EB 2-2-3;;;;;;;;;
Pimpinella major;EB 2-2-3;;;;;;;;;
Pimpinella saxifraga;EB 2-2-3;;;;;;;;;
Plantago lanceolata;EB 2-2-3;;;;;;;;;
Poa angustifolia;EB 2-2-3;;;;;;;;;
Poa pratense;EB 2-2-3;;;;;;;;;
Poa pratensis;EB 2-2-3;;;;;;;;;
Poa trivalis ;EB 2-2-3;;;;;;;;;
Poa trivialis;EB 2-2-3;;;;;;;;;
Primula veris;EB 2-2-3;;;;;;;;;
Prunella vulgaris;EB 2-2-3;;;;;;;;;
Ranunculus acris;EB 2-2-3;;;;;;;;;
Ranunculus bulbosus;EB 2-2-3;;;;;;;;;
Ranunculus ficaria;EB 2-2-3;;;;;;;;;
Ranunculus montanus;EB 2-2-3;;;;;;;;;
Ranunculus repens;EB 2-2-3;;;;;;;;;
Rhinanthus minor;EB 2-2-3;;;;;;;3;;
Rumex acetosa;EB 2-2-3;;;;;;;;;
Rumex sanguineus;EB 2-2-3;;;;;;;;;
Silene alba;EB 2-2-3;;;;;;;;;
Silene flos-cuculi;EB 2-2-3;;;;;;;;;
Stellaria media;EB 2-2-3;;;;;;;;;
Taraxacum officinale;EB 2-2-3;;;;;;;;;
Taraxacum sect Ruderalia;EB 2-2-3;;;;;;;;;
Thlaspi arvense;EB 2-2-3;;;;;;;;;
Tragopodon pratensis;EB 2-2-3;;;;;;;;;
Trifolium dubium;EB 2-2-3;;;;;;2;2;;
Trifolium incarnatum;EB 2-2-3;;;;;;;;;
Trifolium medium;EB 2-2-3;;;;;;;;;
Trifolium pratense;EB 2-2-3;;;;;;;3;1;
Trifolium repens;EB 2-2-3;;;;;;;;;
Trisetum flavescens;EB 2-2-3;;;;;;;;;
Trollius europaeus;EB 2-2-3;;;;;;;;;
Veronica arvensis;EB 2-2-3;;;;;;;;;
Veronica chamaedrys;EB 2-2-3;;;;;;1;1;;
Veronica filiformis;EB 2-2-3;;;;;;;;;
Veronica hederifolia;EB 2-2-3;;;;;;;;;
Veronica persica;EB 2-2-3;;;;;;;;;
Veronica polita;EB 2-2-3;;;;;;;;;
Veronica serpyllifolia;EB 2-2-3;;;;;;;;;
Vicia angustifolia;EB 2-2-3;;;;;;;;;
Vicia cracca;EB 2-2-3;;;;;;;;;
Vicia hirsuta;EB 2-2-3;;;;;;;;;
Vicia sepium;EB 2-2-3;;;;;;;;;
Vicia tetrasperma;EB 2-2-3;;;;;;;;;
Achillea millefolium;EB 2-7-3;;;;;;;;;
Agrostis capillaris;EB 2-7-3;;;;;;;;;
Agrostis gigantea;EB 2-7-3;;;;;;;;;
Agrostis stolonifera;EB 2-7-3;;;;;;;;;
Ajuga reptans;EB 2-7-3;;;;;;;;;
Alchemilla monticula;EB 2-7-3;;;;;;;;;
Alchemilla vulgaris;EB 2-7-3;;;1;3;3;3;7;13;9
Alopecurus pratensis;EB 2-7-3;;;;;;;;;
Anthoxanthum odoratum;EB 2-7-3;;;;;;2;1;;
Arabidopsis thaliana;EB 2-7-3;;;;;;;;;
Arrhenatherum elatius;EB 2-7-3;;;;;;;;;
